id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,toSystem,
1,2,1016,1,1,9,12,100,1,,125,125,,s==5|阵法传承石,15,8,930,-1,
2,2,1089,1,1,9,480,10,1,,115,115,,s==3|藏龙卷,960,5,940,-1,
3,2,1008,10,1,9,248,10,1,,99,104,,s==4|配饰碎片,310,8,880,-1,
4,2,3008,1,1,9,30,5,1,,,,,s==6|5星随机碎片,50,6,960,-1,
5,2,1001,100,1,9,20,1,1,,,,,s==3|突破石,100,2,980,-1,
6,2,1003,1,1,9,24,1,1,,,,2,s==5|高级寻访令,240,1,990,-1,
7,2,1005,1,1,9,14,5,1,,,,,s==2|战书,20,7,950,-1,
8,2,1004,1,1,9,600,1,1,,,,,s==3|聚贤令,1500,4,970,-1,
9,2,1004,1,1,9,300,1,1,,,,,s==3|聚贤令,1500,2,1000,-1,
10,2,1014,1,1,9,588,1,1,,,,,s==5|高级夺宝令,980,6,910,-1,
11,2,1006,1000,1,9,500,1,1,,,,,s==3|将印石,980,5,920,-1,
12,2,1052,20,1,9,137,5,1,,,,,s==4|转换神石,196,7,870,-1,
13,2,1052,100,1,9,784,1,1,,,,,s==4|转换神石,980,8,860,-1,
14,2,1761,1,1,9,4000,1,2,,82,82,3,s==6|3级宝石自选,8000,5,890,-1,
15,2,1230,1,1,9,100,100,1,,160,160,,s==4|百炼玄钢,330,3,900,3940,
16,2,1014,1,1,9,780,1,1,,,,,s==5|高级夺宝令,975,8,909,-1,
