id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,maptype,
1,1,56,1,1,9,50,1,1,,,,,s==3|进攻令,125,4,1000,1,
2,2,1004,1,1,9,450,1,1,,,,,s==3|聚贤令,1500,3,990,1,
3,2,1003,1,1,9,50,1,1,,,,,s==5|高级寻访令,125,4,980,1,
4,2,1050,2,1,9,180,1,1,,,,,s==5|战旗洗练石,300,6,970,1,
5,1,57,1,1,9,50,1,1,,,,,s==3|迁移令,125,4,960,1,
6,2,1049,3,1,9,180,1,1,,,,,s==4|战旗精华,300,6,950,1,
7,2,1027,50,1,9,120,1,1,,,,,s==5|神兵强化石,300,4,940,1,
8,1,56,1,1,9,50,1,1,,,,,s==3|进攻令,125,4,1000,2,
9,2,1004,1,1,9,450,1,1,,,,,s==3|聚贤令,1500,3,990,2,
10,2,1003,1,1,9,50,1,1,,,,,s==5|高级寻访令,125,4,980,2,
11,2,1050,2,1,9,180,1,1,,,,,s==5|战旗洗练石,300,6,970,2,
12,1,57,1,1,9,50,1,1,,,,,s==3|迁移令,125,4,960,2,
13,2,1049,3,1,9,180,1,1,,,,,s==4|战旗精华,300,6,950,2,
14,2,1027,50,1,9,120,1,1,,,,,s==5|神兵强化石,300,4,940,2,
15,1,56,1,1,9,50,1,1,,,,,s==3|进攻令,125,4,1000,3,
16,2,1004,1,1,9,450,1,1,,,,,s==3|聚贤令,1500,3,990,3,
17,2,1003,1,1,9,50,1,1,,,,,s==5|高级寻访令,125,4,980,3,
18,2,1050,2,1,9,180,1,1,,,,,s==5|战旗洗练石,300,6,970,3,
19,1,57,1,1,9,50,1,1,,,,,s==3|迁移令,125,4,960,3,
20,2,1049,3,1,9,180,1,1,,,,,s==4|战旗精华,300,6,950,3,
21,2,1027,50,1,9,120,1,1,,,,,s==5|神兵强化石,300,4,940,3,
22,1,56,1,1,9,50,1,1,,,,,s==3|进攻令,125,4,1000,4,
23,2,1004,1,1,9,450,1,1,,,,,s==3|聚贤令,1500,3,990,4,
24,2,1003,1,1,9,50,1,1,,,,,s==5|高级寻访令,125,4,980,4,
25,2,1050,2,1,9,180,1,1,,,,,s==5|战旗洗练石,300,6,970,4,
26,1,57,1,1,9,50,1,1,,,,,s==3|迁移令,125,4,960,4,
27,2,1049,3,1,9,180,1,1,,,,,s==4|战旗精华,300,6,950,4,
28,2,1027,50,1,9,120,1,1,,,,,s==5|神兵强化石,300,4,940,4,
